id,customer_id,txn_type,txn_total
1,1001,Debit,165.78
2,1001,Credit,42.1
4,1001,Credit,103.03
5,1001,Credit,56.6
6,1002,Debit,214.34
7,1002,Cash,115.69
8,1002,Debit,21.37
9,1004,Cash,227.58
10,1004,Credit,5.92
11,1006,Debit,225.89
12,1014,Cash,67.96
13,1254,Debit,235.79
14,1285,Cash,160.89
15,1354,Credit,377.26
16,1005,Debit,276.01
17,1008,Credit,190.02
18,1585,Debit,320.40
19,1475,Cash,328.72
20,1014,Debit,449.39
21,1254,Cash,15.26
22,1285,Credit,393.91
23,1354,Debit,94.32
24,1005,Debit,403.62
25,1008,Cash,242.73
26,1585,Cash,230.24
27,1475,Debit,87.38
28,1014,Cash,183.08
29,1254,Credit,255.21
30,1285,Debit,256.60
31,1354,Credit,438.29
32,1005,Debit,122.06
33,1008,Cash,166.44
34,1585,Debit,307.91
35,1475,Cash,266.30
